Country,"Density
(P/Km2)",Land Area(Km2),Birth Rate,Fertility Rate,Gasoline Price,GDP,Gross tertiary education enrollment (%),Life expectancy,Minimum wage,Official language,Out of pocket health expenditure,Infant mortality,Maternal mortality ratio,Physicians per thousand,Population,Tax revenue (%),Total tax rate,CPI,Unemployment rate,Urban_population,Co2-Emissions,Latitude,Longitude
Afghanistan,60,652230,32.49,4.47,0.7,19101353833,9.70%,64.5,0.43,Pashto,78.40%,48,638,0.28,38041754,9.30%,71.40%,149.9,11.12%,9797273,8672,33.93911,67.709953
Spain,94,505370,7.9,1.26,$1.26 ,1390000000000,88.90%,83.3,5.6,Spanish,24.20%,3,4,3.87,47076781,14.20%,47.00%,110.96,13.96%,37927409,244002,40.463667,-3.74922
Sri Lanka,341,65610,15.83,2.2,$0.88 ,84008783756,19.60%,76.8,0.35,Tamil,38.40%,6,36,1,21803000,11.90%,55.20%,155.53,4.20%,4052088,23362,7.873054,80.771797
Sudan,25,1861484,32.18,4.41,$0.95 ,18902284476,16.90%,65.1,0.41,Arabic,63.20%,42,295,0.26,42813238,8.00%,45.40%,1344.19,16.53%,14957233,20000,12.862807,30.217636
Suriname,4,163820,18.54,2.42,$1.29 ,3985250737,12.60%,71.6,,Dutch,10.10%,17,120,1.21,581372,19.50%,27.90%,294.66,7.33%,384258,1738,3.919305,-56.027783
Sweden,25,450295,11.4,1.76,$1.42 ,531000000000,67.00%,82.5,,Swedish,15.20%,2,4,3.98,10285453,27.90%,49.10%,110.51,6.48%,9021165,43252,60.128161,18.643501
Switzerland,219,41277,10,1.52,$1.45 ,703000000000,59.60%,83.6,,German,28.30%,4,5,4.3,8574832,10.10%,28.80%,99.55,4.58%,6332428,34477,46.818188,8.227512
Syria,95,185180,23.69,2.81,$0.83 ,40405006007,40.10%,71.8,1.02,Arabic,53.70%,14,31,1.22,17070135,14.20%,42.70%,143.2,8.37%,9358019,28830,34.802075,38.996815
Tajikistan,68,144100,30.76,3.59,$0.71 ,8116626794,31.30%,70.9,0.23,Persian,63.10%,30,17,1.7,9321018,9.80%,67.30%,148.57,11.02%,2545477,5310,38.861034,71.276093
Tanzania,67,947300,36.7,4.89,$0.87 ,63177068175,4.00%,65,0.09,Swahili,26.10%,38,524,0.01,58005463,11.50%,43.80%,187.43,1.98%,20011885,11973,-6.369028,34.888822
Thailand,137,513120,10.34,1.53,$0.71 ,544000000000,49.30%,76.9,1.06,Thai,11.80%,8,37,0.81,69625582,14.90%,29.50%,113.27,0.75%,35294600,283763,15.870032,100.992541
East Timor,89,14874,29.42,4.02,$1.10 ,1673540300,17.80%,69.3,0.6,Portuguese,10.20%,39,142,0.72,3500000,25.00%,17.30%,145.38,4.55%,400182,495,-8.874217,125.727539
Togo,152,56785,33.11,4.32,$0.71 ,5459979417,14.50%,60.8,0.34,French,51.00%,47,396,0.08,8082366,16.90%,48.20%,113.3,2.04%,3414638,3000,8.619543,0.824782
Trinidad and Tobago,273,5128,12.94,1.73,$0.54 ,24100202834,12.00%,73.4,2.25,English,37.30%,16,67,4.17,1394973,19.50%,40.50%,141.75,2.69%,741944,43868,10.691803,-61.222503
Tunisia,76,163610,17.56,2.2,$0.73 ,38797709924,31.70%,76.5,0.47,Arabic,39.80%,15,43,1.3,11694719,21.10%,60.70%,155.33,16.02%,8099061,29937,33.886917,9.537499
Turkey,110,783562,16.03,2.07,$1.42 ,754000000000,23.90%,77.4,3.45,Turkish,16.90%,9,17,1.85,83429615,17.90%,42.30%,234.44,13.49%,63097818,372725,38.963745,35.243322
Turkmenistan,13,488100,23.83,2.79,$0.29 ,40761142857,8.00%,68.1,0.88,Turkmen,71.10%,39,7,2.22,5942089,,,,3.91%,3092738,70630,38.969719,59.556278
Uganda,229,241038,38.14,4.96,$0.94 ,34387229486,4.80%,63,0.01,Swahili,40.50%,34,375,0.17,44269594,11.70%,33.70%,173.87,1.84%,10784516,5680,1.373333,32.290275
Ukraine,75,603550,8.7,1.3,$0.83 ,154000000000,82.70%,71.6,0.84,Ukrainian,47.80%,8,19,2.99,44385155,20.10%,45.20%,281.66,8.88%,30835699,202250,48.379433,31.16558
United Arab Emirates,118,83600,10.33,1.41,$0.49 ,421000000000,36.80%,77.8,,Arabic,17.80%,7,3,2.53,9770529,0.10%,15.90%,114.52,2.35%,8479744,206324,23.424076,53.847818
United Kingdom,281,243610,11,1.68,$1.46 ,2830000000000,60.00%,81.3,10.13,English,14.80%,4,7,2.81,66834405,25.50%,30.60%,119.62,3.85%,55908316,379025,55.378051,-3.435973
United States,36,9833517,11.6,1.73,$0.71 ,21400000000000,88.20%,78.5,7.25,None,11.10%,6,19,2.61,328239523,9.60%,36.60%,117.24,14.70%,270663028,5006302,37.09024,-95.712891
Uruguay,20,176215,13.86,1.97,$1.50 ,56045912952,63.10%,77.8,1.66,Spanish,16.20%,6,17,5.05,3461734,20.10%,41.80%,202.92,8.73%,3303394,6766,-32.522779,-55.765835
Uzbekistan,79,447400,23.3,2.42,$1.03 ,57921286440,10.10%,71.6,0.24,Uzbek,42.70%,19,29,2.37,33580650,14.80%,31.60%,,5.92%,16935729,91811,41.377491,64.585262
Vanuatu,25,12189,29.6,3.78,$1.31 ,917058851,4.70%,70.3,1.56,French,8.90%,22,72,0.17,299882,17.80%,8.50%,117.13,4.39%,76152,147,-15.376706,166.959158
Venezuela,32,912050,17.88,2.27,$0.00 ,482000000000,79.30%,72.1,0.01,Spanish,45.80%,21,125,1.92,28515829,,73.30%,2740.27,8.80%,25162368,164175,6.42375,-66.58973
Vietnam,314,331210,16.75,2.05,$0.80 ,262000000000,28.50%,75.3,0.73,Vietnamese,43.50%,17,43,0.82,96462106,19.10%,37.60%,163.52,2.01%,35332140,192668,14.058324,108.277199
Yemen,56,527968,30.45,3.79,$0.92 ,26914402224,10.20%,66.1,,Arabic,81.00%,43,164,0.31,29161922,,26.60%,157.58,12.91%,10869523,10609,15.552727,48.516388
Zambia,25,752618,36.19,4.63,$1.40 ,23064722446,4.10%,63.5,0.24,English,27.50%,40,213,1.19,17861030,16.20%,15.60%,212.31,11.43%,7871713,5141,-13.133897,27.849332
Zimbabwe,38,390757,30.68,3.62,$1.34 ,21440758800,10.00%,61.2,,Shona,25.80%,34,458,0.21,14645468,20.70%,31.60%,105.51,4.95%,4717305,10983,-19.015438,29.154857
